Type,Element,Meaning,Example Word,Example Meaning,Quiz Prompt,Rarity (1-10)
ROOT,acr (Greek),highest / sharp / at the tip,acrobat,one who walks on the tips of the toes / high points,How does 'acr-' shape the meaning of 'acronym' (a word from the tips/first letters)?,4
ROOT,act (Latin),to do / to drive,react,to do something in response,"How does 'act' connect 'action,' 'interact,' and 'transaction'?",1
ROOT,actin (Greek),ray / beam,actinomycete,a ray-shaped fungus-like bacterium,How does 'actin' connect 'actinide' (radioactive elements with ray-like emissions) and 'actinic'?,8
ROOT,actus reus (Latin),the guilty act,actus reus,the physical element of a crime — the prohibited act or omission,How does 'actus reus' combine with 'mens rea' to establish full criminal liability?,5
ROOT,adjudge (Latin/Old French),to decide judicially,adjudge,to pronounce judgment officially upon,How does 'adjudge' relate to 'adjudicate' in formal legal proceedings?,6
ROOT,aero (Greek),air,aerodynamics,the study of how air moves around objects,How does 'aero' shape the meaning of 'aerospace'?,3
ROOT,aesthes (Greek),sensation / feeling,kinaesthesia,the sense of bodily movement and position,How does 'aesthes' connect 'anaesthesia' (without sensation) and 'synesthesia' (joined senses)?,7
ROOT,affidavit (Latin),he/she has stated on oath,affidavit,a written sworn statement of facts,How does 'affidavit' (literally 'he has made oath') create an evidentiary record outside of court?,4
ROOT,aggravation (Latin),to make heavier,aggravated assault,an assault made more serious by use of a weapon or intent to cause serious harm,How does 'aggravation' (making heavier) increase criminal culpability and sentencing?,4
ROOT,agri / agro (Latin/Greek),field / farming,agriculture,the science and practice of farming,How does 'agri' connect 'agriculture' and 'agrarian'?,3
ROOT,alb (Latin),white,albinism,a congenital absence of pigment causing white coloring,How does 'alb' connect 'albedo' (reflective whiteness) and 'album' (originally a white tablet)?,5
ROOT,alienate (Latin),to make foreign / to transfer,alienation of property,the voluntary transfer of ownership of property to another,How does 'alienation' connect the concepts of property transfer and estrangement?,5
ROOT,aliment (Latin),nourishment / food,alimentary,relating to nourishment and the digestive system,"How does 'aliment' shape the meaning of 'alimentation' and 'malnutrition' (same concept, different root)?",5
ROOT,allege (Latin),to dispatch / to assert without proof,allegation,a claim or assertion not yet proven,What is the legal significance of labeling a claim an 'allegation' rather than a finding of fact?,3
ROOT,alter (Latin),other,alternate,to switch between one and the other,How does 'alter' shape the meaning of 'altruism' (concern for the other)?,3
ROOT,alveol (Latin),small pit / hollow,alveolus,a tiny air sac in the lungs where gas exchange occurs,How does 'alveol' connect 'alveolar' (relating to the tooth socket) and 'alveolitis'?,7
ROOT,amb / amble (Latin),to walk,ambulance,a vehicle for those who cannot walk (or walk away),How does 'amb-' (walk) appear in 'preamble' (a walk before)?,4
ROOT,amend (Latin),to correct / to improve,amendment,"a formal change to a law, contract, or constitution",How does 'amend' differ from 'repeal' in the modification of existing legislation?,2
ROOT,amortize (Latin/Greek),to kill off / to extinguish,amortization,the systematic reduction of an intangible asset's value over its useful life,How does 'amortization' of intangibles differ from 'depreciation' of tangible assets?,5
ROOT,amygdal (Greek),almond,amygdala,the almond-shaped brain structure governing emotion and memory,How does 'amygdal' shape the meaning of 'amygdaloid' (almond-shaped)?,7
ROOT,amyl (Greek),starch,amylase,an enzyme that breaks down starch,How does 'amyl' connect 'amyloid' (starch-like protein deposits) and 'amyloplast'?,8
ROOT,anem (Greek),wind,anemometer,an instrument for measuring wind speed,How does 'anem' connect 'anemophily' (wind pollination) and 'anemone' (wind flower)?,5
ROOT,angio (Greek),vessel / container,angiogenesis,the formation of new blood vessels,"How does 'angio' connect 'angiogram,' 'angioplasty,' and 'angiosperms' (plants with enclosed seeds)?",7
ROOT,anim (Latin),life / spirit / mind,animate,to bring to life,"How does 'anim' connect 'animal,' 'inanimate,' and 'unanimous'?",3
ROOT,ann / enn (Latin),year,annual,happening every year,"If 'ann' means year, what does 'centennial' describe?",3
ROOT,annul (Latin),to reduce to nothing,annulment,a judicial declaration that a marriage was void from the beginning,How does 'annulment' differ legally and practically from 'divorce'?,4
ROOT,anthrop (Greek),human being,anthropology,the study of human beings,How does 'anthrop' shape the meaning of 'philanthropist'?,3
ROOT,appeal (Old French/Latin),to call to a higher authority,appeal,a proceeding by which a party seeks review of a lower court's decision,What are the grounds on which a party may bring an appeal of right?,2
ROOT,apportion (Latin),to assign shares to,apportionment,the allocation of liability or fault among multiple defendants,How does comparative fault 'apportionment' differ from the old contributory negligence bar?,5
ROOT,aqu (Latin),water,aquarium,a container for water-dwelling creatures,"How does 'aqu' connect 'aquatic,' 'aquifer,' and 'aqueduct'?",2
ROOT,arbitr (Latin),to judge / to decide,arbitration,a private dispute-resolution process before a neutral arbitrator,How does 'arbitration' differ from 'mediation' in terms of outcome and enforceability?,4
ROOT,arbitrage (French/Latin),to arbitrate / to judge,regulatory arbitrage,exploiting differences in regulatory frameworks across jurisdictions to gain competitive advantage,How does 'regulatory arbitrage' create risks for financial stability?,6
ROOT,arch (Greek),chief / rule / ancient,monarch,a single ruler,"If 'arch' means chief or first, what does 'architect' literally mean?",3
ROOT,archaeo (Greek),ancient / primitive,archaebacteria,the most ancient domain of microorganisms,How does 'archae' shape the meaning of 'Archaean' (the oldest geological eon)?,5
ROOT,arteri (Greek),artery / windpipe,arteriosclerosis,hardening of the arteries,"How does 'arteri' connect 'arterial,' 'arteriotomy,' and 'arteriole'?",6
ROOT,arthr (Greek),joint,arthroscopy,visual examination inside a joint,How does 'arthr' connect 'arthropod' (jointed leg) and 'osteoarthritis'?,5
ROOT,asset (Old French/Latin),enough / sufficient funds,asset stripping,removing valuable assets from an acquired company before its collapse or sale,Why is 'asset stripping' controversial in corporate governance and insolvency law?,2
ROOT,assign (Latin),to mark out / to transfer,assignment,the transfer of contractual rights or property to another party,What restrictions on 'assignment' commonly appear in commercial contracts?,3
ROOT,astro / aster (Greek),star,astronomy,the study of stars and space,"How does 'astro' connect 'astronaut,' 'asteroid,' and 'disaster' (ill-starred)?",2
ROOT,atri (Latin),entrance hall / atrium,atrioventricular,relating to both the atrium and ventricle of the heart,How does 'atri' connect the heart's atrium and the Roman architectural atrium?,6
ROOT,attach (Old French),to seize by legal process,attachment,the legal seizure of property to secure a potential judgment,How does 'attachment' before judgment differ from 'execution' after judgment?,4
ROOT,attest (Latin),to bear witness,attestation,the act of witnessing the signing of a legal instrument,Why is 'attestation' by independent witnesses essential to the validity of a will?,4
ROOT,aud (Latin),to hear,audible,able to be heard,"Knowing 'aud' means 'hear,' what would 'audience' literally mean?",2
ROOT,audit (Latin),he/she has heard,audit opinion,the formal conclusion of an independent auditor on a company's financial statements,What are the four types of 'audit opinion' and what does each signal?,3
ROOT,axon (Greek),axis / axle,axon,the long fiber of a nerve cell that transmits impulses,How does 'axon' connect 'axoneme' (the axle-like core of a flagellum) and 'axoplasm'?,6
ROOT,bacill (Latin),small rod / staff,bacillus,a rod-shaped bacterium,"How does 'bacill' connect 'bacilli' (plural), 'bacilliform,' and 'Bacillus anthracis'?",6
ROOT,bacter (Greek),small staff / rod,bacteriophage,a virus that attacks bacteria,"How does 'bacter' connect 'bactericide,' 'bacteremia' (bacteria in blood), and 'bacteriostasis'?",4
ROOT,bailment (Old French),to deliver / to hand over,bailment,a transfer of possession (not ownership) of goods for a specific purpose,How does 'bailment' differ from a sale or gift in terms of the transfer of legal title?,6
ROOT,balance sheet (French/Latin),a scale / a weighing,off-balance-sheet financing,arrangements structured to keep liabilities off the formal balance sheet,How did 'off-balance-sheet' vehicles contribute to the 2008 financial crisis?,2
ROOT,battery (Old French/Latin),to beat,battery,the intentional unlawful touching of another person,How does 'battery' (actual contact) differ from 'assault' (apprehension of contact)?,4
ROOT,bench (Germanic/Latin),the judge's seat,bench trial,a trial decided by a judge alone without a jury,When might a defendant prefer a 'bench trial' over a jury trial?,2
ROOT,benchmark (Old English/French),a surveyor's mark,benchmark rate,a reference interest rate (such as SOFR) used to price financial instruments,How does the transition from LIBOR to SOFR as a 'benchmark rate' affect floating-rate loans?,3
ROOT,bene (Latin),good / well,beneficial,producing good results,How does the root 'bene' shape the meaning of 'benevolent'?,2
ROOT,bequest (Old English),to leave by will,bequest,a gift of personal property made by will,How does 'bequest' differ from 'devise' (a gift of real property) and 'legacy'?,5
ROOT,bio (Greek),life,biology,the study of life,How does 'bio' shape the meaning of 'antibiotic' (against life of bacteria)?,1
ROOT,blast (Greek),germ / sprout / bud,blastocyst,an early embryonic structure formed by cell division,"How does 'blast' connect 'blastula,' 'neuroblast,' and 'osteoblast'?",6
ROOT,bond (Old English/Germanic),a binding / a tie,junk bond,a high-yield high-risk corporate bond below investment grade,How did 'junk bonds' transform leveraged buyouts in the 1980s?,2
ROOT,botul (Latin),sausage,botulism,a dangerous toxin originally found in spoiled sausages,How does knowing the root 'botul' help explain both the disease name and 'Botox'?,8
ROOT,brachi (Latin),arm,brachial,relating to the arm,"How does 'brachi' connect 'brachialis muscle,' 'brachiosaurus' (arm lizard), and 'brachiation'?",6
ROOT,breach (Old English/Germanic),a breaking,breach of contract,the failure to perform a contractual obligation without lawful excuse,What are the remedies available to an innocent party for 'breach' of a commercial contract?,3
ROOT,bronch (Greek),windpipe,bronchiole,a small branch of the bronchi in the lung,"How does 'bronch' connect 'bronchitis,' 'bronchodilator,' and 'bronchoscopy'?",5
ROOT,caecum (Latin),blind / blind end,caecum (cecum),the blind pouch at the start of the large intestine,How does 'caecum' connect to 'caecilian' (a blind limbless amphibian) and 'caecal'?,7
ROOT,calc (Latin),heel / limestone,calcaneus,the heel bone,How does 'calc' differentiate between 'calcium' (from limestone) and 'calcaneal' (heel-related)?,5
ROOT,callus (Latin),hardened skin,callus,a thickened area of skin from repeated friction,How does 'callus' connect 'callous' (emotionally hardened) and 'callosity'?,5
ROOT,cap / cep / cip (Latin),to take / to seize,capture,to take hold of something,"How does 'cap' connect 'capable,' 'receptive,' and 'anticipate'?",4
ROOT,capias (Latin),that you take / seize,capias warrant,a court order directing an officer to arrest a named person,How does 'capias' function in modern civil and criminal enforcement proceedings?,8
ROOT,capill (Latin),hair,capillary,a very fine hair-like blood vessel,How does 'capill' connect 'capillarity' (hair-fine liquid movement) and 'capillus'?,6
ROOT,capital (Latin),head / principal sum,working capital,the difference between a company's current assets and current liabilities,Why is 'working capital' management critical to a company's short-term liquidity?,2
ROOT,carcin (Greek),crab / cancer,carcinogenesis,the process by which normal cells become cancerous,How does 'carcin' (crab / cancer) connect 'carcinoma' and the zodiac sign Cancer?,6
ROOT,carp (Greek),fruit / wrist,carpel,the female reproductive part of a flower (fruit-bearing),How does 'carp' mean both 'fruit' in 'carpel' and 'wrist' in 'carpal tunnel'?,6
ROOT,cartel (Italian/Latin),a charter / a letter,price-fixing cartel,an agreement among competitors to set prices at an artificially high level,Why do competition authorities treat 'price-fixing cartels' as the most serious antitrust violation?,5
ROOT,caudal (Latin),tail,caudal,relating to or directed toward the tail end,How does 'caudal' connect 'caudate nucleus' (tail-shaped brain structure) and 'caudex'?,5
ROOT,caveat (Latin),let him beware,caveat emptor,let the buyer beware — the buyer must satisfy themselves about a purchase,How has 'caveat emptor' been eroded by modern consumer protection legislation?,5
ROOT,ced / cede / cess (Latin),to go / to yield,proceed,to go forward,How does 'cede' explain the meaning of 'concede' (to go together / yield together)?,3
ROOT,cent (Latin),hundred,century,a period of one hundred years,"If 'cent' means hundred, what does 'percent' literally mean?",2
ROOT,cereb (Latin),brain,cerebellar,relating to the cerebellum,"How does 'cereb' connect 'cerebrum,' 'cerebral cortex,' and 'cerebrospinal fluid'?",5
ROOT,certiorari (Latin),to be informed / to be made certain,writ of certiorari,a discretionary writ by which a higher court calls up the record of a lower court,What criteria does the U.S. Supreme Court use in deciding whether to grant 'certiorari'?,7
ROOT,cervic (Latin),neck,cervical,relating to the neck (or the neck of the uterus),How does 'cervic' shape the meaning of 'cervicitis' and 'cervicogenic headache'?,6
ROOT,chattel (Old French/Latin),movable property,chattel mortgage,a security interest in personal (movable) property,How does 'chattel' (movable property) contrast with 'real property' in property law?,6
ROOT,chelat (Greek),claw,chelate,a compound where a metal ion is gripped by a claw-like organic molecule,How does 'chelat' connect 'chelation therapy' and 'chelicerae' (claw-like mouthparts)?,8
ROOT,chimera (Greek),fire-breathing monster / hybrid,chimera,an organism with two or more genetically distinct cell populations,How does 'chimera' connect the mythological creature and the biological/genetic term?,6
ROOT,chitin (Greek),tunic / covering,chitin,the structural polysaccharide forming insect exoskeletons,How does 'chitin' relate to 'chitosan' and the protective coverings of arthropods?,8
ROOT,chole (Greek),bile,cholesterol,a fatty substance transported via bile (solid bile),"How does 'chole' connect 'cholecystitis' (inflamed gallbladder), 'cholelithiasis,' and 'cholera'?",6
ROOT,chrom (Greek),color,chromosome,a colored body (visible when stained),How does 'chrom' shape the meaning of 'monochrome'?,4
ROOT,chron (Greek),time,chronological,arranged in order of time,"If 'chron' means time, what does 'synchronize' mean? Break it down.",2
ROOT,cide (Latin),to kill,suicide,killing of oneself,"How does 'cide' connect 'genocide,' 'homicide,' and 'insecticide'?",4
ROOT,cili (Latin),eyelid / hair,cilia,tiny hair-like projections on cells for movement or sensing,"How does 'cili' connect 'ciliary muscle' (in the eye), 'supercilious' (raising an eyebrow), and 'ciliated epithelium'?",6
ROOT,circ (Latin),ring / circle,circus,a ring / circular performance area,How does 'circ' shape the meaning of 'circuit' (going around a ring)?,2
ROOT,circadi (Latin),about a day,circadian,relating to biological processes on a roughly 24-hour cycle,How does 'circa' (about) + 'dies' (day) combine to explain the meaning of 'circadian rhythm'?,6
ROOT,civ (Latin),citizen,civilization,the development of human civic society,"How does 'civ' connect 'civil,' 'civilian,' and 'civic'?",2
ROOT,civil (Latin),citizen / relating to citizens,civil liability,legal responsibility to a private party (as opposed to criminal liability to the state),How does 'civil' liability differ from 'criminal' liability in terms of standard of proof and remedy?,1
ROOT,claim (Latin/Old French),to call out / to demand,counterclaim,a claim brought by the defendant against the plaintiff in the same action,How does a 'counterclaim' procedurally differ from a separate action?,1
ROOT,clud / clus (Latin),to close / to shut,include,to close in / bring within,How does 'clud' explain 'exclude' (to shut out) vs. 'include' (to shut in)?,4
ROOT,codon (Greek),bell / unit of code,codon,a sequence of three nucleotides coding for an amino acid,How does 'codon' connect 'anticodon' and the genetic code?,8
ROOT,coerce (Latin),to restrain / to compel,coercion,the use of threats or force to compel a person to act contrary to their will,How does 'coercion' (duress) vitiate consent and affect contractual validity?,4
ROOT,cogn (Latin),to know,recognize,to know again,How does 'cogn' shape the meaning of 'incognito' (in an unknown state)?,4
ROOT,collagen (Greek),glue-producing,collagen,the most abundant structural protein in the body,How does 'colla' (glue) + 'gen' (producing) explain collagen's role in connective tissue?,5
ROOT,collateral (Latin),side by side / additional security,collateral agreement,a separate agreement made alongside the main contract,How does 'collateral' security reduce credit risk for lenders?,4
ROOT,comity (Latin),courtesy,comity of nations,the recognition and enforcement of another jurisdiction's laws and judgments,Why does 'comity' allow courts to recognize foreign judgments even without a treaty obligation?,7
ROOT,commodity (Latin),convenience / advantage / goods,commodity futures,a contract to buy or sell a commodity at a fixed price on a future date,How do 'commodity futures' allow producers to hedge against price volatility?,3
ROOT,compel (Latin),to drive together / to force,compellability,the quality of being legally obliged to give evidence when summoned,What categories of witness are exempt from 'compellability' in criminal proceedings?,3
ROOT,compensat (Latin),to weigh together / to make up for,compensatory damages,damages intended to restore the claimant to their pre-breach position,How do 'compensatory' damages differ from 'punitive' damages in purpose and calculation?,3
ROOT,competence (Latin),to be capable / to meet together,competence,the legal capacity of a court to hear a matter or a witness to testify,How does 'competence' (capacity to testify) differ from 'compellability' (obligation to testify)?,3
ROOT,competition (Latin),to seek together,predatory pricing,setting prices so low as to drive competitors from the market,How does 'predatory pricing' violate competition law while benefiting consumers in the short term?,2
ROOT,compliance (Latin),to fulfil / to complete,compliance program,a structured system to ensure adherence to legal and regulatory requirements,What are the essential elements of an effective corporate 'compliance program'?,3
ROOT,condone (Latin),to give leave / to forgive,condonation,the implied forgiveness of a matrimonial offense by the innocent spouse,How did 'condonation' historically function as a defense to divorce petitions?,5
ROOT,condyle (Greek),knuckle / rounded knob,condyle,a rounded bony protrusion that forms a joint,How does 'condyle' shape the meaning of 'condylar fracture' and 'epicondyle'?,8
ROOT,consideration (Latin),to examine / to think carefully,consideration,something of value exchanged to make a contract binding,Why is 'consideration' essential to common-law contract formation?,4
ROOT,consolidat (Latin),to make firm together,consolidation,the combining of multiple actions or companies into one,How does 'consolidation' of cases promote judicial efficiency under civil procedure rules?,3
ROOT,consortium (Latin),partnership / sharing,consortium bid,a joint bid submitted by multiple parties acting together,What liability and governance arrangements govern a 'consortium' in a joint venture?,5
ROOT,constructive (Latin),to build / to construct,constructive notice,notice that the law imputes to a party whether or not they have actual knowledge,How does 'constructive' trust differ from an 'express' trust in equity?,4
ROOT,contempt (Latin),to despise / to scorn,contempt of court,willful disobedience of or disrespect toward the authority of a court,What conduct constitutes 'contempt' and what are the available sanctions?,3
ROOT,contract (Latin),to draw together,contract of adhesion,a standard-form contract offered on a take-it-or-leave-it basis,How do courts treat ambiguous terms in 'contracts of adhesion'?,2
ROOT,convene (Latin),to come together,annual general meeting (AGM),the yearly meeting at which shareholders exercise governance rights,What items of business must by law be conducted at an 'AGM'?,3
ROOT,convey (Latin/Old French),to bring together / to transport,conveyance,the legal transfer of title to real property from one person to another,What documents are required to effect a valid 'conveyance' of land?,4
ROOT,corp (Latin),body,corporation,a body of people acting as one entity,"How does 'corp' connect 'corpse,' 'corporal,' and 'incorporate'?",3
ROOT,corporation (Latin),a body,closely held corporation,a corporation with a small number of shareholders often involved in management,How do 'closely held corporation' agreements restrict share transfer to maintain control?,2
ROOT,corpus (Latin),body / mass,corpus callosum,the large body of nerve fibers connecting the brain hemispheres,"How does 'corpus' connect 'corpuscle' (little body), 'corporation,' and 'corpulent'?",4
ROOT,corpus (Latin),body,corpus juris,the body of law of a legal system,How does 'corpus juris' differ from a single statute in the hierarchy of legal authority?,4
ROOT,cortex (Latin),bark / outer layer,cortical,relating to the cortex (outer layer),"How does 'cortex' connect 'cortisol' (from the adrenal cortex), 'neocortex,' and 'decorticate'?",5
ROOT,cosm (Greek),world / universe / order,cosmopolitan,belonging to the whole world,How does 'cosm' shape the meaning of 'cosmos' and 'microcosm'?,4
ROOT,covenant (Old French/Latin),to agree together,restrictive covenant,an agreement that restricts the use of land for the benefit of neighboring land,How does a 'restrictive covenant' run with the land and bind successors in title?,5
ROOT,covenant (Old French/Latin),to agree together,financial covenant,a contractual promise in a loan agreement maintaining specified financial ratios,What remedies are available to lenders when a borrower breaches a 'financial covenant'?,5
ROOT,cranium (Greek/Latin),skull / helmet,intracranial,situated within the skull,"How does 'cranium' connect 'craniotomy,' 'cranial nerves,' and 'neurocranium'?",5
ROOT,cred (Latin),to believe / to trust,credible,able to be believed,"How does 'cred' connect 'credit,' 'incredible,' and 'credentials'?",2
ROOT,credit (Latin),belief / trust,letter of credit,a bank's undertaking to pay a seller on presentation of specified documents,"How does a 'letter of credit' allocate risk between buyer, seller, and bank in trade finance?",2
ROOT,crepitus (Latin),a rattling / crackling sound,crepitation,a crackling sound in joints or lungs,How does 'crepitus' shape the meaning of 'crepuscular' (relating to the creaking/dim twilight)?,9
ROOT,culp (Latin),blame / fault,culprit,a person at fault,How does 'culp' shape the meaning of 'exculpate' (to free from blame)?,5
ROOT,culpa (Latin),fault / blame,culpable homicide,a killing that is blameworthy but may not amount to murder,How does 'culpability' grade criminal offenses from negligence to intentional wrongdoing?,6
ROOT,curr / curs (Latin),to run,current,running / flowing at this moment,"How does 'curr' connect 'cursor,' 'currency,' and 'occur'?",3
ROOT,currency (Latin),running / circulation,currency risk,the risk that exchange-rate movements will adversely affect the value of a transaction,How do forward contracts hedge 'currency risk' in international trade?,2
ROOT,cusp (Latin),point / tip,bicuspid,having two points (as in a bicuspid tooth or valve),"How does 'cusp' connect 'tricuspid valve,' 'cuspidor,' and 'cuspidate' (pointed)?",6
ROOT,cutis (Latin),skin,subcutaneous,situated beneath the skin,"How does 'cutis' connect 'cuticle,' 'cutaneous,' and 'integument'?",6
ROOT,dactylo (Greek),finger / date (fruit),pterodactyl,a flying reptile with a winged finger,How does 'dactylo' connect 'dactylology' (finger language / sign language) and 'polydactyly'?,8
ROOT,damages (Latin/Old French),loss / harm,liquidated damages,a pre-agreed sum payable on breach of contract,How do 'liquidated damages' clauses differ from unenforceable 'penalty' clauses?,2
ROOT,debt (Latin),something owed,debt service,the cash required to cover repayment of interest and principal on a loan,How does 'debt service coverage ratio' measure a borrower's ability to service its obligations?,1
ROOT,dec (Latin),ten,decade,a period of ten years,"If 'dec' means ten, what does 'decimal' describe?",2
ROOT,deceit (Latin/Old French),to deceive,deceit,the tort of making a false representation with intent to defraud,What are the elements a claimant must prove in an action for 'deceit'?,4
ROOT,deed (Old English),an act / a thing done,deed poll,a deed executed by one party only (used to change a name),How does a 'deed' create stronger obligations than a simple contract under common law?,3
ROOT,defamation (Latin),to damage reputation,defamation per se,statements so harmful that damage is presumed without proof,How does 'libel' (written defamation) differ from 'slander' (spoken defamation) in terms of actionability?,4
ROOT,default (Old French/Latin),failure / neglect,default judgment,a judgment entered against a party who fails to appear or respond,What steps may a defendant take to set aside a 'default' judgment?,3
ROOT,default (Old French/Latin),failure,event of default,a specified trigger event allowing a lender to accelerate a loan and demand immediate repayment,What is the difference between a 'technical default' and a 'payment default'?,3
ROOT,delegate (Latin),to send away / to assign,delegation,the transfer of a duty to perform to a third party,When can contractual duties be 'delegated' and when is personal performance required?,3
ROOT,deltoid (Greek),shaped like the letter delta,deltoid,a triangular muscle of the shoulder,How does 'deltoid' connect the Greek letter Delta and the deltoid muscle's shape?,5
ROOT,dem (Greek),people,democracy,rule by the people,How does 'dem' connect 'epidemic' (upon the people) and 'demographic'?,2
ROOT,demurrer (Latin/Old French),to remain / to stay,demurrer,a pleading objecting that even if the facts are true the claim is legally insufficient,How does a 'demurrer' function as a motion to dismiss in common-law pleading?,8
ROOT,dendrite (Greek),tree-like,dendrite,a branching extension of a nerve cell receiving signals,"How does 'dendr' connect 'dendrochronology,' 'rhododendron' (rose tree), and 'philodendron'?",6
ROOT,dens / dentin (Latin),tooth,dentin,the hard calcified tissue beneath tooth enamel,"How does 'dens' connect 'dental,' 'dentition,' and 'trident' (three-toothed)?",5
ROOT,dent / dont (Latin/Greek),tooth,dentist,one who works with teeth,How does 'dent' shape the meaning of 'indent' (to put a tooth-like notch into)?,3
ROOT,depose (Latin/Old French),to put down / to remove from power,deposition,out-of-court sworn testimony recorded for use at trial,How does a 'deposition' during discovery differ from testimony at trial?,4
ROOT,depreciation (Latin),to lower the value,accelerated depreciation,writing off an asset faster than the straight-line method for tax or accounting purposes,How does 'accelerated depreciation' create a timing difference between book and tax profit?,4
ROOT,derivative (Latin),to lead away / to derive from,derivative instrument,"a financial contract whose value derives from an underlying asset, rate, or index",How does a 'derivative' like an interest rate swap transfer risk between counterparties?,5
ROOT,derm (Greek),skin,epidermis,the outer layer of skin,How does 'derm' shape the meaning of 'dermatology'?,4
ROOT,devise (Latin/Old French),to divide / to give by will,devise,a gift of real property made by will,How does 'devise' (real property by will) differ from 'bequest' (personal property by will)?,6
ROOT,diaphysis (Greek),growth through,diaphysis,the shaft of a long bone,How does 'dia-' (through) + 'physis' (growth) explain the bone's developmental role?,9
ROOT,diastole (Greek),to dilate / expand,diastole,the phase of the heart cycle when it relaxes and fills with blood,How does 'diastole' contrast with 'systole' (the contraction phase)?,7
ROOT,dict (Latin),to say / to tell,predict,to say beforehand,"Using 'dict' (to say), explain the meaning of 'contradict.'",2
ROOT,dictum (Latin),something said,obiter dictum,a statement made by a judge that is not essential to the decision,How does 'dictum' (something said in passing) lack the precedential force of ratio decidendi?,5
ROOT,dilatory (Latin),causing delay,dilatory plea,a plea intended to delay proceedings rather than address the merits,How does the court control 'dilatory' tactics through case management powers?,7
ROOT,diligence (Latin),careful attention,due diligence,a thorough investigation of a business or asset before a transaction,What areas does legal 'due diligence' typically cover in a corporate acquisition?,3
ROOT,dilution (Latin),to thin / to dissolve,dilution of equity,the reduction in existing shareholders' ownership percentage when new shares are issued,How do 'anti-dilution' provisions protect early investors in venture capital financings?,5
ROOT,diploid (Greek),double,diploid,having two sets of chromosomes (one from each parent),How does 'diplo' connect 'diploma' (a folded double document) and 'diplomat'?,7
ROOT,discharge (Old French/Latin),to unload / to free from obligation,discharge of contract,"the termination of contractual obligations by performance, agreement, or law",In what ways other than full performance may a contract be lawfully 'discharged'?,3
ROOT,disclosure (Latin/Old French),to open up / to reveal,continuous disclosure,the ongoing obligation of a listed company to announce material information to the market,Why does 'continuous disclosure' reduce information asymmetry between issuers and investors?,3
ROOT,discount (Latin/Old French),to reckon off / to deduct,discounted cash flow (DCF),a valuation method calculating the present value of projected future cash flows,What assumptions drive a 'DCF' valuation and what are the main sources of uncertainty?,3
ROOT,discovery (Latin/Old French),to uncover / to reveal,discovery,the pre-trial process of exchanging evidence between parties,How does 'discovery' promote settlement and prevent trial by ambush?,3
ROOT,dissolution (Latin),to loosen apart,voluntary dissolution,a company's own decision to wind up and distribute assets to shareholders,How does 'voluntary dissolution' differ from 'compulsory winding up' ordered by a court?,4
ROOT,dividend (Latin),to divide,franked dividend,"a dividend paid out of profits already taxed at the corporate level, carrying a tax credit",How does 'dividend imputation' (franked dividends) eliminate double taxation of corporate profits?,3
ROOT,domicile (Latin),home / dwelling,domicile,the place a person treats as their permanent home and to which they intend to return,How does 'domicile' differ from 'residence' and why does it matter for jurisdiction and succession?,5
ROOT,dower (Old French/Latin),gift / endowment,dower right,a widow's common-law right to a life estate in one-third of her husband's land,How has 'dower' been reformed or abolished in modern matrimonial property law?,8
ROOT,duc / duct (Latin),to lead,educate,to lead out (knowledge from within),"How does 'duc' connect 'conduct,' 'deduce,' and 'aqueduct'?",3
ROOT,due diligence (Latin),careful attention / duty,vendor due diligence,a report on a business commissioned by the seller rather than the buyer,What are the advantages and limitations of relying on 'vendor due diligence' as a buyer?,3
ROOT,duodenum (Latin),twelve,duodenum,the first section of the small intestine (twelve finger-widths long),How does 'duoden' literally describe the length of the duodenum?,6
ROOT,dura (Latin),hard,dura mater,the tough outer membrane surrounding the brain and spinal cord,"How does 'dura' connect 'durable,' 'endure,' and 'duress'?",5
ROOT,duress (Latin),hardship / compulsion,economic duress,illegitimate commercial pressure used to coerce a party into a contract,How does 'duress' vitiate contractual consent and what remedies are available?,5
ROOT,dyn (Greek),power / force,dynamite,an explosive with great force,How does 'dyn' shape the meaning of 'dynamic' and 'dynasty'?,4
ROOT,dynamo (Greek),power,dynamometer,an instrument for measuring mechanical power or force,"How does 'dynamo' connect 'aerodynamic,' 'hydrodynamics,' and 'thermodynamics'?",5
ROOT,earnest (Old English/French),pledge / deposit,earnest money,a deposit paid to demonstrate seriousness and secure a contract,How does 'earnest money' function differently from a full purchase-price deposit?,5
ROOT,easement (Old French/Latin),ease / relief,easement of way,the right to cross another person's land,How does an 'easement' differ from a license in terms of enforceability against successors?,5
ROOT,efferent (Latin),to carry outward,efferent,carrying impulses or fluids away from a center,How does 'efferent' contrast with 'afferent' (carrying toward a center)?,7
ROOT,ego (Latin/Greek),self / I,egotist,one who is excessively self-centered,How does 'ego' shape the meaning of 'egocentric'?,2
ROOT,elastin (Greek),to drive / to push,elastin,a protein providing elasticity to tissues,How does 'elastin' shape the meaning of 'elastase' (the enzyme that degrades it)?,8
ROOT,embargo (Spanish/Latin),to bar / to obstruct,trade embargo,a government order prohibiting trade with a specified country,How does an 'export embargo' differ from an 'import embargo' in its economic effect?,4
ROOT,eminent domain (Latin),supreme dominion,eminent domain,the state's power to take private property for public use upon payment of compensation,What does 'just compensation' mean in the context of 'eminent domain'?,5
ROOT,encephal (Greek),within the head / brain,encephalitis,inflammation of the brain,"How does 'encephal' connect 'encephalogram,' 'hydrocephalus,' and 'encephalopathy'?",6
